area_type,availability,location,society,total_sqft,bath,balcony,price,bedroom,total_room,ready,price_per_sqft,price_per_total_room,total_spaces,price_per_total_spaces
Super built-up  Area,18-Mar,Kathriguppe,GrrvaGr,1650.0,3,2,125.0,3,5,Not Ready,0.07575757575757576,25.0,10,12.5
Plot  Area,Ready To Move,KR Puram,GrrvaGr,1200.0,2,0,71.0,2,2,Ready,0.059166666666666666,35.5,4,17.75
Super built-up  Area,18-May,Hosa Road,GrrvaGr,1079.0,2,1,32.37,2,4,Not Ready,0.03,8.0925,7,4.624285714285714
Super built-up  Area,19-Oct,Panathur,Caiya D,1085.0,2,1,36.0,2,4,Not Ready,0.03317972350230415,9.0,7,5.142857142857143
Built-up  Area,Ready To Move,Maruthi Sevanagar,GrrvaGr,5000.0,7,1,299.0,7,7,Ready,0.0598,42.714285714285715,15,19.933333333333334
Super built-up  Area,Ready To Move,Yelahanka,GrrvaGr,1075.0,2,1,51.5,2,4,Ready,0.04790697674418604,12.875,7,7.357142857142857
Super built-up  Area,18-May,Devanahalli Int. Airport,GrrvaGr,1380.0,2,1,80.0,2,4,Not Ready,0.057971014492753624,20.0,7,11.428571428571429
Super built-up  Area,Ready To Move,Puttanahalli,GrrvaGr,1450.0,3,1,65.0,3,5,Ready,0.04482758620689655,13.0,9,7.222222222222222
Super built-up  Area,Ready To Move,Thubarahalli,GrrvaGr,1200.0,2,2,78.0,2,4,Ready,0.065,19.5,8,9.75
Super built-up  Area,Ready To Move,Benson Town,GrrvaGr,3200.0,4,1,350.0,3,5,Ready,0.109375,70.0,10,35.0
Super built-up  Area,21-Jul,Hoodi,GoAirej,1639.0,3,1,98.32,3,5,Not Ready,0.05998779743746186,19.663999999999998,9,10.924444444444443
Super built-up  Area,Ready To Move,Jakkuru Layout,GrrvaGr,1200.0,2,1,54.0,2,4,Ready,0.045,13.5,7,7.714285714285714
Super built-up  Area,21-Jun,Vijayanagar,Saityat,1739.0,3,1,116.0,3,5,Not Ready,0.06670500287521564,23.2,9,12.88888888888889
Built-up  Area,Ready To Move,Palanahalli,RMaanSa,4346.0,5,1,500.0,4,4,Ready,0.1150483202945237,125.0,10,50.0
Super built-up  Area,20-Dec,Old Madras Road,Shmes O,935.0,2,1,32.72,2,4,Not Ready,0.03499465240641711,8.18,7,4.674285714285714
Super built-up  Area,21-Nov, Thanisandra,Bhe 2ko,510.0,1,1,25.25,0,2,Not Ready,0.049509803921568625,12.625,4,6.3125
Plot  Area,Ready To Move,Devasandra Extension,GrrvaGr,1200.0,6,3,180.0,6,6,Ready,0.15,30.0,15,12.0
Super built-up  Area,Ready To Move,Nagondanahalli,PrestSe,1178.0,2,3,47.0,2,4,Ready,0.039898132427843805,11.75,9,5.222222222222222
Built-up  Area,Ready To Move,Chikkalasandra,Siourpl,1375.0,2,1,50.0,3,5,Ready,0.03636363636363636,10.0,8,6.25
Super built-up  Area,Ready To Move,Chandapura,Halms S,1065.0,2,1,33.0,3,5,Ready,0.030985915492957747,6.6,8,4.125
Super built-up  Area,Ready To Move,2nd Phase Judicial Layout,GrrvaGr,1450.0,2,1,50.75,3,5,Ready,0.035,10.15,8,6.34375
Built-up  Area,Ready To Move,BEML Layout,GrrvaGr,999.0,2,3,45.0,2,4,Ready,0.04504504504504504,11.25,9,5.0
Super built-up  Area,Ready To Move,Amruthahalli,GrrvaGr,4400.0,3,2,475.0,2,4,Ready,0.10795454545454546,118.75,9,52.77777777777778
Plot  Area,Ready To Move,Marathahalli,GrrvaGr,1350.0,4,1,135.0,5,5,Ready,0.1,27.0,10,13.5
Built-up  Area,Ready To Move,Kothannur,GrrvaGr,1100.0,2,2,40.0,2,4,Ready,0.03636363636363636,10.0,8,5.0
Super built-up  Area,Ready To Move,Koramangala,Wiass G,1835.0,2,3,155.0,3,5,Ready,0.08446866485013624,31.0,10,15.5
Super built-up  Area,20-Dec,Hoodi,Caycend,2090.0,4,0,95.1,4,6,Not Ready,0.04550239234449761,15.85,10,9.51
Super built-up  Area,Ready To Move,Lingadheeranahalli,Soiewre,1519.0,3,1,93.0,3,5,Ready,0.061224489795918366,18.6,9,10.333333333333334
Built-up  Area,Ready To Move,Dommasandra,Asene S,1267.0,3,2,56.0,3,5,Ready,0.04419889502762431,11.2,10,5.6
Super built-up  Area,Ready To Move,Sanjay nagar,Camesa ,1150.0,2,3,72.2,2,4,Ready,0.06278260869565218,18.05,9,8.022222222222222
Super built-up  Area,19-Dec,Marathahalli,PrensKe,1146.0,2,1,70.0,2,4,Not Ready,0.06108202443280977,17.5,7,10.0
Plot  Area,18-Feb,1st Block HRBR Layout,GrrvaGr,1200.0,7,0,235.0,8,8,Not Ready,0.19583333333333333,29.375,15,15.666666666666666
Built-up  Area,Ready To Move,Kannamangala,Marnaer,1550.0,3,3,65.0,3,5,Ready,0.041935483870967745,13.0,11,5.909090909090909
Built-up  Area,Ready To Move,Chandapura,KHityry,850.0,1,1,18.5,2,4,Ready,0.02176470588235294,4.625,6,3.0833333333333335
Super built-up  Area,Ready To Move,Richmond Town,Kaestid,2200.0,3,1,187.0,3,5,Ready,0.085,37.4,9,20.77777777777778
Built-up  Area,Ready To Move,"Sarjapur Road, ",GrrvaGr,3329.0,3,2,330.0,3,3,Ready,0.09912886752778612,110.0,8,41.25
Carpet  Area,Ready To Move,Electronics City Phase 1,GrrvaGr,785.0,1,1,55.0,1,3,Ready,0.07006369426751592,18.333333333333332,5,11.0
Super built-up  Area,Ready To Move,Hebbal Kempapura,GonumPl,2900.0,4,1,300.0,3,5,Ready,0.10344827586206896,60.0,10,30.0
Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,Avlya A,1610.0,3,2,74.0,3,5,Ready,0.04596273291925466,14.8,10,7.4
Super built-up  Area,Ready To Move,Bellandur,Krine O,921.0,2,2,40.0,2,4,Ready,0.04343105320304017,10.0,8,5.0
Plot  Area,Ready To Move,Kengeri Satellite Town,GrrvaGr,850.0,3,2,95.0,3,3,Ready,0.11176470588235295,31.666666666666668,8,11.875
Built-up  Area,Ready To Move,Bannerghatta Road,GrrvaGr,2700.0,5,0,158.0,5,5,Ready,0.05851851851851852,31.6,10,15.8
Super built-up  Area,Ready To Move,Sarjapur  Road,SocusHi,1700.0,3,3,110.0,3,5,Ready,0.06470588235294118,22.0,11,10.0
Built-up  Area,Ready To Move,Sarjapur,Sondaka,1020.0,2,2,35.0,2,4,Ready,0.03431372549019608,8.75,8,4.375
Super built-up  Area,Ready To Move,Billekahalli,Dintsmi,1090.0,2,3,52.0,2,4,Ready,0.047706422018348627,13.0,9,5.777777777777778
Plot  Area,Ready To Move,Bagalur Main Road,GrrvaGr,3600.0,4,1,300.0,4,4,Ready,0.08333333333333333,75.0,9,33.333333333333336
Super built-up  Area,Ready To Move,Haralur Road,GrrvaGr,1027.0,2,2,44.0,2,4,Ready,0.042843232716650435,11.0,8,5.5
Super built-up  Area,Ready To Move,Thanisandra,MenueNo,1185.0,2,2,42.1,2,4,Ready,0.03552742616033756,10.525,8,5.2625
Super built-up  Area,Ready To Move,Doddathoguru,Prianhi,850.0,2,1,25.0,2,4,Ready,0.029411764705882353,6.25,7,3.5714285714285716
Built-up  Area,Ready To Move,Harlur,Prncyrn,1197.0,2,1,84.0,2,4,Ready,0.07017543859649122,21.0,7,12.0
Super built-up  Area,Ready To Move,Byadarahalli,ETntsce,3500.0,3,3,450.0,4,6,Ready,0.12857142857142856,75.0,12,37.5
Super built-up  Area,Ready To Move,Poorna Pragna Layout,GrrvaGr,920.0,2,2,39.55,2,4,Ready,0.042989130434782606,9.8875,8,4.94375
Super built-up  Area,Ready To Move,Chamrajpet,GrrvaGr,7706.9524,9,1,296.0,9,11,Ready,0.03840688051998349,26.90909090909091,21,14.095238095238095
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,i1rtsCo,1105.0,2,1,65.0,2,4,Ready,0.058823529411764705,16.25,7,9.285714285714286
Super built-up  Area,Ready To Move,Yeshwanthpur,GoandAc,1850.0,3,3,100.0,3,5,Ready,0.05405405405405406,20.0,11,9.090909090909092
Super built-up  Area,20-Dec,Judicial Layout,PrarePa,1300.0,3,1,64.0,3,5,Not Ready,0.04923076923076923,12.8,9,7.111111111111111
Built-up  Area,Ready To Move,"Varthur Road, ",GrrvaGr,1595.0,3,2,76.0,3,5,Ready,0.04764890282131661,15.2,10,7.6
Built-up  Area,Ready To Move,Horamavu Agara,GrrvaGr,755.0,2,1,37.49,2,4,Ready,0.04965562913907285,9.3725,7,5.355714285714286
Built-up  Area,Ready To Move,Nagasandra,GrrvaGr,4050.0,5,2,140.0,5,5,Ready,0.0345679012345679,28.0,12,11.666666666666666
Super built-up  Area,21-Dec,Kanakpura Road,GrrvaGr,1300.0,2,3,69.0,3,5,Not Ready,0.05307692307692308,13.8,10,6.9
Built-up  Area,Ready To Move,Bannerghatta Road,GrrvaGr,1215.0,2,0,50.0,2,4,Ready,0.0411522633744856,12.5,6,8.333333333333334
Super built-up  Area,20-Oct,Kanakpura Road,PrarePa,900.0,2,1,46.0,2,4,Not Ready,0.051111111111111114,11.5,7,6.571428571428571
Super built-up  Area,18-Oct,Banashankari Stage III,GrrvaGr,1145.0,2,3,58.4,2,4,Not Ready,0.05100436681222707,14.6,9,6.488888888888889
Super built-up  Area,Ready To Move,Chikka Banaswadi,GrrvaGr,1093.0,2,2,65.0,2,4,Ready,0.059469350411710885,16.25,8,8.125
Super built-up  Area,17-Nov,Babusapalaya,GrrvaGr,1213.0,2,2,41.39,3,5,Not Ready,0.034122011541632316,8.278,9,4.598888888888889
Super built-up  Area,Ready To Move,Bannerghatta Road,PrliaRe,1654.0,3,2,100.0,3,5,Ready,0.060459492140266025,20.0,10,10.0
Super built-up  Area,Ready To Move,NGR Layout,GrrvaGr,1105.0,2,1,52.48,2,4,Ready,0.04749321266968325,13.12,7,7.497142857142856
Super built-up  Area,Ready To Move,Babusapalaya,GrrvaGr,1611.0,2,2,66.0,3,5,Ready,0.040968342644320296,13.2,9,7.333333333333333
Built-up  Area,Ready To Move,Outer Ring Road East,Hoens T,1367.0,2,2,62.0,2,4,Ready,0.04535479151426482,15.5,8,7.75
Super built-up  Area,Ready To Move,Devanahalli,Brntsal,1010.0,2,1,51.0,2,4,Ready,0.0504950495049505,12.75,7,7.285714285714286
Plot  Area,Ready To Move,Kavika Layout,GrrvaGr,750.0,2,1,75.0,3,3,Ready,0.1,25.0,6,12.5
Carpet  Area,Ready To Move,Vinayaka Nagar,SVon hn,1535.0,3,1,95.0,3,5,Ready,0.06188925081433225,19.0,9,10.555555555555555
Super built-up  Area,Ready To Move,Anekal,GrrvaGr,620.0,2,1,22.0,2,4,Ready,0.035483870967741936,5.5,7,3.142857142857143
Built-up  Area,Ready To Move,Horamavu Agara,GrrvaGr,982.0,2,1,47.65,2,4,Ready,0.048523421588594705,11.9125,7,6.807142857142857
Super built-up  Area,Ready To Move,Banashankari Stage II,GrrvaGr,1700.0,2,2,150.0,2,4,Ready,0.08823529411764706,37.5,8,18.75
Super built-up  Area,18-Dec,Whitefield,BSlasin,1330.0,2,1,71.0,2,4,Not Ready,0.05338345864661654,17.75,7,10.142857142857142
Built-up  Area,Ready To Move,JP Nagar,Ronty C,2500.0,3,2,135.0,3,3,Ready,0.054,45.0,8,16.875
Super built-up  Area,Ready To Move,Poorna Pragna Layout,GrrvaGr,1475.0,2,2,58.99,3,5,Ready,0.03999322033898305,11.798,9,6.554444444444445
Super built-up  Area,Ready To Move,Bhoganhalli,BSisear,1410.0,3,1,65.0,3,5,Ready,0.04609929078014184,13.0,9,7.222222222222222
Super built-up  Area,Ready To Move,Yelahanka New Town,GrrvaGr,440.0,1,1,16.5,1,3,Ready,0.0375,5.5,5,3.3
Super built-up  Area,Ready To Move,Yelahanka,PuziaVe,1614.0,3,2,95.0,3,5,Ready,0.05885997521685254,19.0,10,9.5
Super built-up  Area,Ready To Move,Neeladri Nagar,GeereEc,1363.0,2,2,68.0,2,4,Ready,0.049889948642699924,17.0,8,8.5
Built-up  Area,Ready To Move,Kogilu,GrrvaGr,650.0,2,0,28.0,2,2,Ready,0.043076923076923075,14.0,4,7.0
Super built-up  Area,Ready To Move,Dodda Kempaiah Layout,GrrvaGr,1015.0,2,1,45.0,2,4,Ready,0.04433497536945813,11.25,7,6.428571428571429
Super built-up  Area,Ready To Move,Horamavu Banaswadi,GrrvaGr,1156.0,2,2,46.0,2,4,Ready,0.039792387543252594,11.5,8,5.75
Super built-up  Area,19-Mar,Hennur Busstop,GrrvaGr,1100.0,2,1,62.7,2,4,Not Ready,0.057,15.675,7,8.957142857142857
Super built-up  Area,18-Jan,KR Puram,GrrvaGr,1455.0,3,2,46.0,3,5,Not Ready,0.03161512027491409,9.2,10,4.6
Super built-up  Area,Ready To Move,GB Palya,Ravashw,930.0,2,1,45.0,2,4,Ready,0.04838709677419355,11.25,7,6.428571428571429
Built-up  Area,Ready To Move,AMS Layout,GrrvaGr,1650.0,2,2,80.0,3,5,Ready,0.048484848484848485,16.0,9,8.88888888888889
Built-up  Area,Ready To Move,KR Puram,GrrvaGr,1200.0,2,0,90.0,2,2,Ready,0.075,45.0,4,22.5
Super built-up  Area,Ready To Move,Karuna Nagar,AjityIn,2900.0,3,1,135.0,4,6,Ready,0.04655172413793104,22.5,10,13.5
Super built-up  Area,18-Mar,Kadugodi,Alestrb,1890.0,4,3,127.0,3,5,Not Ready,0.0671957671957672,25.4,12,10.583333333333334
Super built-up  Area,Ready To Move,Ashwathnagar,Vaour S,2197.0,4,3,280.0,3,5,Ready,0.12744651797906237,56.0,12,23.333333333333332
Super built-up  Area,Ready To Move,Hebbal Kempapura,GonumPl,3522.0,3,2,380.0,3,5,Ready,0.10789324247586599,76.0,10,38.0
Super built-up  Area,18-Apr,Gaurava Nagar,GrrvaGr,1240.0,2,2,46.0,3,5,Not Ready,0.037096774193548385,9.2,9,5.111111111111111
Built-up  Area,Ready To Move,HRBR Layout,Vaaveeh,1440.0,2,2,98.0,2,4,Ready,0.06805555555555555,24.5,8,12.25
Super built-up  Area,Ready To Move,Kodichikkanahalli,GrrvaGr,650.0,1,2,38.0,1,3,Ready,0.05846153846153846,12.666666666666666,6,6.333333333333333
Super built-up  Area,19-Jun,Budigere,Brstaue,764.0,1,1,32.0,1,3,Not Ready,0.041884816753926704,10.666666666666666,5,6.4
Plot  Area,Ready To Move,Sector 7 HSR Layout,GrrvaGr,900.0,4,0,90.0,5,5,Ready,0.1,18.0,9,10.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,GrrvaGr,1693.0,3,3,57.39,3,5,Ready,0.0338984051978736,11.478,11,5.217272727272728
Built-up  Area,Ready To Move,Hoodi,Macanr ,1445.0,3,2,65.0,3,5,Ready,0.04498269896193772,13.0,10,6.5
Super built-up  Area,21-Oct,Kanakpura Road,PrarePa,900.0,1,0,45.0,2,4,Not Ready,0.05,11.25,5,9.0
Super built-up  Area,Ready To Move,Singasandra,GrrvaGr,1030.0,2,1,55.0,2,4,Ready,0.05339805825242718,13.75,7,7.857142857142857
Super built-up  Area,Ready To Move,Yelahanka,Pyikad ,1381.0,2,2,52.48,3,5,Ready,0.03800144822592324,10.495999999999999,9,5.8311111111111105
Built-up  Area,Ready To Move,Basapura,Krtiqa ,1100.0,2,1,60.0,2,4,Ready,0.05454545454545454,15.0,7,8.571428571428571
Super built-up  Area,Ready To Move,Hoodi,GrrvaGr,1575.0,3,2,66.39,3,5,Ready,0.042152380952380955,13.278,10,6.639
Plot  Area,Ready To Move,Thigalarapalya,GrrvaGr,1200.0,2,1,65.0,2,2,Ready,0.05416666666666667,32.5,5,13.0
Super built-up  Area,Ready To Move,Begur Road,Dhalsh ,1200.0,2,2,43.2,2,4,Ready,0.036000000000000004,10.8,8,5.4
Super built-up  Area,Ready To Move,Kasturi Nagar,GradeMR,1080.0,2,2,80.0,2,4,Ready,0.07407407407407407,20.0,8,10.0
Plot  Area,Ready To Move,Hebbal Kempapura,GrrvaGr,2280.0,5,1,200.0,5,5,Ready,0.08771929824561403,40.0,11,18.181818181818183
Super built-up  Area,18-Mar,Akshaya Nagar,GrrvaGr,1360.0,2,2,85.0,3,5,Not Ready,0.0625,17.0,9,9.444444444444445
Super built-up  Area,19-Dec,Jakkur,Ceezey ,1865.0,3,1,124.0,3,5,Not Ready,0.06648793565683646,24.8,9,13.777777777777779
Super built-up  Area,18-Nov,Sarjapur  Road,AsastDe,1157.0,2,1,75.0,3,5,Not Ready,0.06482281763180639,15.0,8,9.375
Super built-up  Area,Ready To Move,Kammasandra,Icingpy,674.0,2,1,29.0,2,4,Ready,0.04302670623145401,7.25,7,4.142857142857143
Super built-up  Area,Ready To Move,Whitefield,AdndeBe,1405.0,2,1,78.0,3,5,Ready,0.05551601423487545,15.6,8,9.75
Super built-up  Area,Ready To Move,Begur Road,Dhalsh ,1160.0,2,2,44.08,2,4,Ready,0.038,11.02,8,5.51
Plot  Area,Ready To Move,Kengeri Satellite Town ( BDA SITE),GrrvaGr,1600.0,3,1,172.0,4,4,Ready,0.1075,43.0,8,21.5
Super built-up  Area,21-Mar,Hebbal,Oztarol,1790.0,3,2,127.0,3,5,Not Ready,0.07094972067039106,25.4,10,12.7
Super built-up  Area,18-May,Electronic City,Prarkun,1128.0,2,1,65.65,2,4,Not Ready,0.05820035460992908,16.4125,7,9.37857142857143
Super built-up  Area,Ready To Move,Panathur,Arentpa,1180.0,2,1,70.0,2,4,Ready,0.059322033898305086,17.5,7,10.0
Built-up  Area,Ready To Move,AGS Layout,GrrvaGr,1450.0,2,2,85.0,3,5,Ready,0.05862068965517241,17.0,9,9.444444444444445
Built-up  Area,18-Mar,Kengeri,GrrvaGr,340.0,1,1,10.0,1,3,Not Ready,0.029411764705882353,3.3333333333333335,5,2.0
Built-up  Area,Ready To Move,Srinagar,GrrvaGr,2000.0,3,1,166.0,4,4,Ready,0.083,41.5,8,20.75
Super built-up  Area,Ready To Move,Rachenahalli,GrrvaGr,1050.0,2,2,53.5,2,4,Ready,0.05095238095238095,13.375,8,6.6875
Super built-up  Area,Ready To Move,Varthur,Pethaai,1125.0,2,2,40.0,2,4,Ready,0.035555555555555556,10.0,8,5.0
Super built-up  Area,Ready To Move,Vittasandra,Prlla C,1246.0,2,1,68.0,2,4,Ready,0.05457463884430177,17.0,7,9.714285714285714
Super built-up  Area,Ready To Move,HSR Layout,SrisePo,1372.0,2,1,61.0,2,4,Ready,0.04446064139941691,15.25,7,8.714285714285714
Super built-up  Area,Ready To Move,Uttarahalli,Aklia R,1330.0,2,1,56.0,3,5,Ready,0.042105263157894736,11.2,8,7.0
Super built-up  Area,19-Dec,Binny Pete,She 2rk,2465.0,5,2,234.0,3,5,Not Ready,0.0949290060851927,46.8,12,19.5
Super built-up  Area,Ready To Move,Dasarahalli,GrrvaGr,1300.0,2,3,55.0,2,4,Ready,0.04230769230769231,13.75,9,6.111111111111111
Plot  Area,Ready To Move,Bannerghatta,GrrvaGr,810.0,4,1,50.0,4,4,Ready,0.06172839506172839,12.5,9,5.555555555555555
Super built-up  Area,Ready To Move,Channasandra,Unm 2El,1065.0,2,1,35.0,2,4,Ready,0.03286384976525822,8.75,7,5.0
Built-up  Area,Ready To Move,Hessarghatta,GrrvaGr,700.0,2,0,27.0,2,4,Ready,0.03857142857142857,6.75,6,4.5
Carpet  Area,18-Mar,Hebbal,Arcia S,687.325,2,0,42.72,2,4,Not Ready,0.062154002837085796,10.68,6,7.12
Super built-up  Area,Ready To Move,Belathur,Viiniai,1050.0,2,1,45.0,2,4,Ready,0.04285714285714286,11.25,7,6.428571428571429
Super built-up  Area,18-Apr,Maruthi HBCS Layout,GrrvaGr,1250.0,3,3,39.5,3,5,Not Ready,0.0316,7.9,11,3.590909090909091
Built-up  Area,Ready To Move,Electronic City,Palleon,865.0,2,0,42.0,2,4,Ready,0.048554913294797684,10.5,6,7.0
Super built-up  Area,Ready To Move,Uttarahalli,GrrvaGr,1200.0,2,2,44.0,2,4,Ready,0.03666666666666667,11.0,8,5.5
Built-up  Area,Ready To Move,Srirampura,NRnoral,1756.0,3,3,100.0,3,5,Ready,0.05694760820045558,20.0,11,9.090909090909092
Plot  Area,Ready To Move,Malleshwaram,GrrvaGr,750.0,8,1,150.0,9,9,Ready,0.2,16.666666666666668,18,8.333333333333334
Super built-up  Area,Ready To Move,Yelahanka,Ardanru,628.0,1,1,24.0,1,3,Ready,0.03821656050955414,8.0,5,4.8
Plot  Area,Ready To Move,9th Phase JP Nagar,GrrvaGr,1200.0,6,2,195.0,7,7,Ready,0.1625,27.857142857142858,15,13.0
Super built-up  Area,Ready To Move,5th Phase JP Nagar,GrrvaGr,1207.0,2,2,63.0,2,4,Ready,0.05219552609776305,15.75,8,7.875
Super built-up  Area,Ready To Move,Kalena Agrahara,KlarkBe,1765.0,3,1,125.0,3,5,Ready,0.0708215297450425,25.0,9,13.88888888888889
Built-up  Area,18-Dec,Electronic City,GrrvaGr,1130.0,2,1,32.64,2,4,Not Ready,0.02888495575221239,8.16,7,4.662857142857143
Super built-up  Area,18-Jun,Devanahalli Road,Ozana U,1532.0,3,3,92.0,3,5,Not Ready,0.06005221932114883,18.4,11,8.363636363636363
Built-up  Area,Ready To Move,Ejipura,DSncele,1650.0,3,0,110.0,3,5,Ready,0.06666666666666667,22.0,8,13.75
Built-up  Area,18-May,Horamavu Banaswadi,GrrvaGr,1200.0,4,2,105.0,4,4,Not Ready,0.0875,26.25,10,10.5
Carpet  Area,18-Dec,Bhoganhalli,Rosha I,804.1,2,1,69.09,2,4,Not Ready,0.08592214898644447,17.2725,7,9.870000000000001
Super built-up  Area,18-Apr,Doddathoguru,GrrvaGr,1200.0,2,2,75.0,2,4,Not Ready,0.0625,18.75,8,9.375
Super built-up  Area,Ready To Move,Kengeri,GrrvaGr,1197.0,2,2,50.0,2,4,Ready,0.04177109440267335,12.5,8,6.25
Built-up  Area,Ready To Move,Green Woods Layout,Paarklu,1200.0,2,2,66.0,2,4,Ready,0.055,16.5,8,8.25
Super built-up  Area,Ready To Move,Uttarahalli,Shony S,1385.0,2,2,48.48,3,5,Ready,0.035003610108303246,9.696,9,5.386666666666667
Super built-up  Area,Ready To Move,Craig Park Layout,Cearkry,1010.0,2,3,148.0,2,4,Ready,0.14653465346534653,37.0,9,16.444444444444443
Super built-up  Area,Ready To Move,Whitefield,UKe 2nz,2225.0,3,3,115.0,3,5,Ready,0.051685393258426963,23.0,11,10.454545454545455
Super built-up  Area,Ready To Move,Immadihalli,Niimet ,1180.0,2,2,48.0,2,4,Ready,0.04067796610169491,12.0,8,6.0
Super built-up  Area,Ready To Move,Banagiri Nagar,GrrvaGr,1525.0,2,3,122.0,3,5,Ready,0.08,24.4,10,12.2
Super built-up  Area,Ready To Move,Ananth Nagar,GrrvaGr,1100.0,2,2,31.5,2,4,Ready,0.028636363636363637,7.875,8,3.9375
Super built-up  Area,Ready To Move,Hiremath Layout,GrrvaGr,1435.0,3,3,70.0,3,5,Ready,0.04878048780487805,14.0,11,6.363636363636363
Built-up  Area,Ready To Move,Attibele,Jae 2hu,400.0,1,1,14.0,1,3,Ready,0.035,4.666666666666667,5,2.8
Super built-up  Area,Ready To Move,Dommasandra,Asene S,1200.0,2,2,50.0,2,4,Ready,0.041666666666666664,12.5,8,6.25
Super built-up  Area,21-Mar,Whitefield,PritaDo,1272.0,2,1,95.05,2,4,Not Ready,0.0747248427672956,23.7625,7,13.578571428571427
Super built-up  Area,Ready To Move,Whitefield,SSthamh,1205.0,2,1,39.0,2,4,Ready,0.03236514522821577,9.75,7,5.571428571428571
Built-up  Area,Ready To Move,Kalena Agrahara,ARomee ,980.0,2,1,40.0,2,4,Ready,0.04081632653061224,10.0,7,5.714285714285714
Super built-up  Area,18-May,Malleshpalya,GrrvaGr,1225.0,2,2,46.86,2,4,Not Ready,0.03825306122448979,11.715,8,5.8575
Built-up  Area,Ready To Move,Whitefield,GrrvaGr,1541.0,3,1,72.0,3,5,Ready,0.04672290720311486,14.4,9,8.0
Super built-up  Area,Ready To Move,Ramagondanahalli,DNeremo,1610.0,2,2,111.0,3,5,Ready,0.06894409937888199,22.2,9,12.333333333333334
Super built-up  Area,Ready To Move,Jalahalli,Tahtsla,1694.0,2,2,125.0,2,4,Ready,0.07378984651711924,31.25,8,15.625
Plot  Area,Ready To Move,Jnanabharathi Layout,GrrvaGr,600.0,3,2,75.0,3,3,Ready,0.125,25.0,8,9.375
Super built-up  Area,Ready To Move,Kaggalipura,Baowsig,950.0,2,1,39.0,2,4,Ready,0.04105263157894737,9.75,7,5.571428571428571
Super built-up  Area,Ready To Move,Muneshwara Nagar,Laderav,1560.0,2,3,66.0,3,5,Ready,0.04230769230769231,13.2,10,6.6
Super built-up  Area,Ready To Move,Chandapura,GrrvaGr,1201.0,2,2,27.0,2,4,Ready,0.022481265611990008,6.75,8,3.375
Plot  Area,Ready To Move,Chandapura,GrrvaGr,1500.0,2,1,60.0,2,2,Ready,0.04,30.0,5,12.0
Super built-up  Area,Ready To Move,Malleshpalya,GrrvaGr,1785.0,3,2,75.0,3,5,Ready,0.04201680672268908,15.0,10,7.5
Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,GrrvaGr,1258.0,2,1,63.53,2,4,Ready,0.05050079491255962,15.8825,7,9.075714285714286
Super built-up  Area,Ready To Move,Electronic City,CoapeSo,910.0,2,2,42.0,2,4,Ready,0.046153846153846156,10.5,8,5.25
Super built-up  Area,Ready To Move,Thigalarapalya,GrrvaGr,1297.0,2,2,112.0,2,4,Ready,0.08635312259059368,28.0,8,14.0
Super built-up  Area,Ready To Move,Kundalahalli,Vangsld,1291.0,2,3,49.0,2,4,Ready,0.037955073586367155,12.25,9,5.444444444444445
Built-up  Area,Ready To Move,Chikkasandra,GrrvaGr,1070.0,2,2,42.0,2,4,Ready,0.03925233644859813,10.5,8,5.25
Super built-up  Area,Ready To Move,Varthur,Soamsay,1012.0,2,1,66.5,2,4,Ready,0.06571146245059288,16.625,7,9.5
Super built-up  Area,Ready To Move,Mahadevpura,GrrvaGr,1260.0,2,3,57.6,2,4,Ready,0.045714285714285714,14.4,9,6.4
Super built-up  Area,Ready To Move,Sarjapur  Road,Maantr ,1282.0,2,2,72.0,2,4,Ready,0.056162246489859596,18.0,8,9.0
Super built-up  Area,Ready To Move,Kanakpura Road,Puestol,1843.0,3,2,92.15,3,5,Ready,0.05,18.43,10,9.215
Plot  Area,Ready To Move,Bharath Housing Society Layout,GrrvaGr,2400.0,3,1,200.0,4,4,Ready,0.08333333333333333,50.0,8,25.0
Built-up  Area,Ready To Move,Chikka Tirupathi,Theanmp,3356.0,5,2,105.0,5,5,Ready,0.03128724672228844,21.0,12,8.75
Super built-up  Area,19-Mar,Hebbal,Raard B,2790.0,5,3,198.0,4,6,Not Ready,0.07096774193548387,33.0,14,14.142857142857142
Super built-up  Area,Ready To Move,EPIP Zone,BrontLa,1330.0,2,1,86.98,2,4,Ready,0.06539849624060151,21.745,7,12.425714285714287
Super built-up  Area,Ready To Move,Konanakunte,A rtsai,1400.0,2,1,73.0,3,5,Ready,0.052142857142857144,14.6,8,9.125
Built-up  Area,18-Dec,Whitefield,GrrvaGr,1192.0,2,1,71.0,2,4,Not Ready,0.05956375838926174,17.75,7,10.142857142857142
Built-up  Area,Ready To Move,3rd Block Jayanagar,GrrvaGr,1000.0,2,1,130.0,2,4,Ready,0.13,32.5,7,18.571428571428573
Super built-up  Area,Ready To Move,Thigalarapalya,Prtanha,1297.0,2,2,103.0,2,4,Ready,0.07941403238242097,25.75,8,12.875
Super built-up  Area,19-Jul,Sarjapur  Road,Sasta S,615.0,1,0,17.835,1,3,Not Ready,0.029,5.945,4,4.45875
